recruiter_id,user_id,company_id,full_name,designation,phone
e7d15cf9-9d31-44fb-96b2-a7a1393d3a0c,7d8e598c-4813-40ea-a971-d03c395fd14c,c7fbe351-edcb-47e7-97a2-1ce31ea41cef,Breanna Jones,Recruiter,+923235479144
da12de6b-ad11-4000-93e2-1fe1f7159a6b,8675a86a-a9e5-4d4c-b833-6e7d57502ca0,abb40bf1-e421-485e-93f9-bcbcfcd3202c,Sarah Morgan,People Ops,+923209961380
01c3384d-c78c-4cb5-8a90-d296ca3e616d,44d53017-34d5-4e39-9376-5cc020829d18,0988657d-498a-4138-a545-c67c635e50bc,Debra Smith,Talent Acquisition,+923397366205
ca1fadda-bf92-4650-ba63-4baf9727517c,9cc3d003-1517-4681-85a7-7278f5edf773,043c62f9-e3ae-45a0-91cf-9b939a0cfdea,Sara Carpenter,People Ops,+923246440561
cb412854-fce6-4b77-92b6-8995cfea9ff3,08514437-28c5-4adc-9b2b-1fefb2daa52f,7f42ed9d-b8cd-4395-967d-920a92ab6d3a,Sharon Griffin,Talent Acquisition,+923126292423
b6d71b05-e1df-4645-83d5-5ef32557d9d7,7baddfc6-73f2-46fc-af71-1d953aad7001,ba7256ee-5bdf-4568-8d94-573bf1ba058c,Mr. Phillip Bennett,Recruiter,+923144539704
7c6ceb73-c1c4-4713-88b2-3fb7bec6ef32,5d690391-d816-43be-a80c-fdb2d11cb7cb,8d04cf8a-76ca-4552-b31c-422fd18d9caa,Sheila Pollard,Recruiter,+923239375710
0501f7a9-5b68-4dd6-81ba-702bc93ca130,d093a843-b2fe-4a2b-ba0b-d6b1b0f0deed,ba7256ee-5bdf-4568-8d94-573bf1ba058c,James Chase,HR Lead,+923195443951
b5f6cbe8-fc2b-4c1c-a903-4a5947964066,ad4325bd-df4d-4d5e-a657-cd0eca0e12ce,a1a3654b-d5be-4c74-b6fa-79fe549216ba,Evan Kennedy,Talent Acquisition,+923455408072
02412b7d-582f-4257-88c3-7834bf346fe6,edc16c09-5781-40d0-8a7c-329a9f451b7c,8d04cf8a-76ca-4552-b31c-422fd18d9caa,Jane Mcneil,HR Lead,+923477700828
8ed28173-bf13-467c-a940-64613afafb25,082e636b-d900-4a79-af0b-059a0513e322,c7fbe351-edcb-47e7-97a2-1ce31ea41cef,Marissa Hernandez,Talent Acquisition,+923189548432
5d5cdb08-a9fc-4cbe-b36c-5abee46e3e35,e02399cc-bf52-4329-a6d9-2cb34bb05255,8d75f308-7d54-439e-aa2e-d51c045910d3,Beth Sanford,HR Manager,+923132839607
caeb67dc-ea4a-4622-b53a-55730fc93db2,614c2c73-106f-494d-9def-f117e5b7263e,a1a3654b-d5be-4c74-b6fa-79fe549216ba,Brian Kirk,Talent Acquisition,+923372065818
aadd9584-bfaa-4799-9e39-743d98b949cc,f58c1c67-74f5-4da0-9373-6ea420895e14,ba7256ee-5bdf-4568-8d94-573bf1ba058c,Thomas Smith,HR Lead,+923488852574
79ec1649-bed9-4664-abab-db322f5240c8,6878eedf-e671-4b1a-890f-7df9a419bb81,87eda243-fc4d-42c3-bf23-6a78b168875c,Seth Booker,Recruiter,+923451192619
6f6c3c4b-a984-4eb1-b067-5034fbd9f3ea,ef1f858b-e079-41cc-8b2b-a1726310e0ac,8b445472-ac60-4ed3-9617-bd007b884ef8,Richard Baker,People Ops,+923276707197
78f2764e-f160-4ab7-b879-725aeba4f6e9,11c8a68c-0a2e-4e42-87af-70119043774d,8b445472-ac60-4ed3-9617-bd007b884ef8,Jennifer Miller,Recruiter,+923373653446
223e593b-0796-4ca5-a493-21cbdbdf50af,78eb93d0-dcd1-4c51-80a1-6088fd695d8a,05f82b79-c56e-4ce8-8b41-470b9d97252f,Michael Ferguson,HR Manager,+923269398441
4a0a7057-f72d-48d7-9e34-e21193ba0e67,9aa559ca-05f1-49f4-b372-6770407d5abc,7c31d95d-e425-4091-b401-d9f274bc3aa2,Lori Clay,People Ops,+923166007072
bc4ed597-c865-4257-b499-510d81ede307,aadcfdd3-e6d8-4559-a34f-124dd8b9a00e,87eda243-fc4d-42c3-bf23-6a78b168875c,Joshua Williamson II,People Ops,+923223564217
